speech,word,n,total,tf,idf,tf_idf
22,everyone's,4,133,0.03007518796992481,3.120895416507997,0.0938615162859548
39,bees,49,2268,0.021604938271604937,4.219507705176107,0.09116220350689119
36,fusion,48,2442,0.019656019656019656,4.219507705176107,0.08293872639166795
22,merry,3,133,0.022556390977443608,3.5263605246161616,0.0795419667206653
22,january,3,133,0.022556390977443608,2.833213344056216,0.06390706791104246
22,manhattan,3,133,0.022556390977443608,2.833213344056216,0.06390706791104246
22,halter,2,133,0.015037593984962405,4.219507705176107,0.06345124368685874
22,whistling,2,133,0.015037593984962405,4.219507705176107,0.06345124368685874
68,clouds,52,1784,0.02914798206278027,2.1400661634962708,0.06237861014675229
67,commons,28,1486,0.018842530282637954,3.120895416507997,0.058805566394497924
27,iceberg,9,440,0.020454545454545454,2.833213344056216,0.0579520911284226
34,battery,28,1936,0.014462809917355372,3.120895416507997,0.045136917180900786
66,ozone,18,1367,0.013167520117044623,2.833213344056216,0.03730639370373949
60,clouds,27,1594,0.016938519447929738,2.1400661634962708,0.036249552330237966
27,icebergs,5,440,0.011363636363636364,3.120895416507997,0.03546472064213633
22,daisies,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,dogwoods,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,frisbees,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,gators,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,iced,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,lovers,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,picnics,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,preacher,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,roller,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,skaters,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,sobule,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,strolling,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,sunbathers,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
22,tea,1,133,0.007518796992481203,4.219507705176107,0.03172562184342937
65,weather,12,660,0.01818181818181818,1.7346010553881064,0.031538201007056475
66,cfcs,10,1367,0.0073152889539136795,4.219507705176107,0.030866918106628435
66,montreal,10,1367,0.0073152889539136795,4.219507705176107,0.030866918106628435
60,cloud,17,1594,0.01066499372647428,2.833213344056216,0.03021620254012276
43,aquifer,10,1398,0.00715307582260372,4.219507705176107,0.030182458549185314
40,rice,24,2498,0.009607686148919135,3.120895416507997,0.029984583665409095
62,nitric,16,2252,0.007104795737122558,4.219507705176107,0.029978740356490993
1,ownership,13,1831,0.0070999453850355,4.219507705176107,0.029958274258486833
39,bee,16,2268,0.007054673721340388,4.219507705176107,0.029767250124699166
33,oil,64,3471,0.018438490348602708,1.580450375560848,0.029141118996224222
12,black,49,2950,0.016610169491525422,1.7346010553881064,0.028812017530175323
65,musical,6,660,0.00909090909090909,3.120895416507997,0.028371776513709063
43,ice,41,1398,0.029327610872675252,0.9614111671546247,0.028195892598955375
66,protocol,9,1367,0.006583760058522311,4.219507705176107,0.02778022629596559
22,bloom,1,133,0.007518796992481203,3.5263605246161616,0.02651398890688843
22,bug,1,133,0.007518796992481203,3.5263605246161616,0.02651398890688843
22,cares,1,133,0.007518796992481203,3.5263605246161616,0.02651398890688843
59,park,16,1229,0.013018714401952807,2.0222831278398874,0.026327526481235312
45,radar,17,2018,0.00842418235877106,3.120895416507997,0.02629099211131613
12,holes,27,2950,0.009152542372881356,2.833213344056216,0.025931105182887403
14,religion,20,2729,0.007328691828508612,3.5263605246161616,0.025843609561129802
65,scores,4,660,0.006060606060606061,4.219507705176107,0.025572773970764285
44,arctic,25,1537,0.01626545217957059,1.5114575040738967,0.02458453975396709
43,sheet,16,1398,0.011444921316165951,2.1400661634962708,0.024492888852603957
64,fires,18,1804,0.009977827050997782,2.4277482359480516,0.024223652021654614
9,democracy,18,1943,0.009264024704065878,2.6100697927420065,0.024179751039298054
59,bangkok,7,1229,0.005695687550854353,4.219507705176107,0.024032997507105573
40,genetic,17,2498,0.0068054443554843875,3.5263605246161616,0.02399845032765202
35,abalone,11,1937,0.005678884873515746,4.219507705176107,0.023962098480607732
62,oxide,15,2252,0.0066607460035523975,3.5263605246161616,0.023488191771422032
22,glorious,1,133,0.007518796992481203,3.120895416507997,0.0234653790714887
22,palm,1,133,0.007518796992481203,3.120895416507997,0.0234653790714887
28,ah,18,3280,0.00548780487804878,4.219507705176107,0.023155834967429855
59,concrete,8,1229,0.006509357200976403,3.5263605246161616,0.022954340274149138
52,dinosaurs,17,2342,0.007258753202391118,3.120895416507997,0.022653809598905186
34,metal,14,1936,0.007231404958677686,3.120895416507997,0.022568458590450393
61,clouds,4,381,0.010498687664041995,2.1400661634962708,0.022467886230931978
36,plasma,13,2442,0.005323505323505323,4.219507705176107,0.022462571731076734
8,hunger,14,1954,0.007164790174002047,3.120895416507997,0.022360560814284523
61,cloud,3,381,0.007874015748031496,2.833213344056216,0.022308766488631622
44,underwater,15,1537,0.009759271307742356,2.2735975561207935,0.0221886553948028
61,feeds,2,381,0.005249343832020997,4.219507705176107,0.02214964674633127
44,noise,14,1537,0.009108653220559532,2.4277482359480516,0.02211351678807594
40,papaya,13,2498,0.005204163330664532,4.219507705176107,0.021959007272733942
65,data,10,660,0.015151515151515152,1.4469189829363254,0.021923014892974626
28,seal,17,3280,0.005182926829268293,4.219507705176107,0.02186939969146153
52,rocks,21,2342,0.008966695132365499,2.4277482359480516,0.02176887828988432
52,dreadnoughtus,12,2342,0.005123825789923143,4.219507705176107,0.021620022400560754
64,burned,11,1804,0.006097560975609756,3.5263605246161616,0.021502198320830255
65,score,4,660,0.006060606060606061,3.5263605246161616,0.021371881967370675
55,lapse,6,797,0.0075282308657465494,2.833213344056216,0.021329084145969006
22,flies,1,133,0.007518796992481203,2.833213344056216,0.02130235597034749
22,jill,1,133,0.007518796992481203,2.833213344056216,0.02130235597034749
22,spray,1,133,0.007518796992481203,2.833213344056216,0.02130235597034749
18,molecule,5,835,0.005988023952095809,3.5263605246161616,0.02111593128512672
64,wildfires,9,1804,0.004988913525498891,4.219507705176107,0.021050759061299867
49,wolves,13,2181,0.005960568546538285,3.5263605246161616,0.02101911362678134
20,transformations,14,2357,0.005939753924480272,3.5263605246161616,0.020945713765221155
30,gift,6,1036,0.005791505791505791,3.5263605246161616,0.0204229374012519
62,skin,20,2252,0.008880994671403197,2.2735975561207935,0.0201918077808241
38,bottle,10,2120,0.0047169811320754715,4.219507705176107,0.019903338231962768
12,hole,24,2950,0.008135593220338983,2.4277482359480516,0.019751172089068895
22,lonely,1,133,0.007518796992481203,2.6100697927420065,0.019624584907834634
62,vitamin,14,2252,0.006216696269982238,3.120895416507997,0.019401658894809926
32,bronx,17,3108,0.0054697554697554695,3.5263605246161616,0.019288329767849017
29,bj,12,2626,0.00456968773800457,4.219507705176107,0.019281832620759057
29,dj,12,2626,0.00456968773800457,4.219507705176107,0.019281832620759057
23,wal,12,2632,0.004559270516717325,4.219507705176107,0.019237877075271
62,blood,19,2252,0.008436944937833037,2.2735975561207935,0.019182217391782892
27,snowflake,2,440,0.004545454545454545,4.219507705176107,0.01917958047807321
11,clock,21,3884,0.005406797116374871,3.5263605246161616,0.01906631591579284
4,muhammad,7,1552,0.004510309278350515,4.219507705176107,0.019031284752727286
65,dimensional,4,660,0.006060606060606061,3.120895416507997,0.018914517675806042
35,virus,14,1937,0.007227671657201859,2.6100697927420065,0.01886472746432013
64,patchwork,8,1804,0.004434589800443459,4.219507705176107,0.01871178583226655
14,religious,18,2729,0.00659582264565775,2.833213344056216,0.018687372734705714
39,honeybees,10,2268,0.004409171075837742,4.219507705176107,0.01860453132793698
61,chasing,2,381,0.005249343832020997,3.5263605246161616,0.018511078869376175
61,hail,2,381,0.005249343832020997,3.5263605246161616,0.018511078869376175
44,whales,10,1537,0.006506180871828237,2.833213344056216,0.018433398464907068
22,fed,1,133,0.007518796992481203,2.4277482359480516,0.018253746134947756
22,worry,1,133,0.007518796992481203,2.4277482359480516,0.018253746134947756
35,periodic,10,1937,0.005162622612287042,3.5263605246161616,0.01820526858345979
4,he'd,8,1552,0.005154639175257732,3.5263605246161616,0.018177116106268872
44,ice,29,1537,0.018867924528301886,0.9614111671546247,0.018139833342540088
43,crevasse,6,1398,0.004291845493562232,4.219507705176107,0.01810947512951119
15,cells,17,2457,0.006919006919006919,2.6100697927420065,0.0180590909550729
45,sheet,17,2018,0.00842418235877106,2.1400661634962708,0.01802830762112815
35,battery,11,1937,0.005678884873515746,3.120895416507997,0.017723205772631888
11,mountain,32,3884,0.008238928939237899,2.1400661634962708,0.01763185304631325
51,sulfide,15,3606,0.004159733777038269,4.219507705176107,0.01755202872369429
35,materials,14,1937,0.007227671657201859,2.4277482359480516,0.017546967115783543
18,atmospheric,6,835,0.00718562874251497,2.4277482359480516,0.017444897503818335
54,man,18,1493,0.012056262558606833,1.4469189829363254,0.0174444351593127
9,elections,8,1943,0.004117344312918168,4.219507705176107,0.017373166053221235
64,forest,18,1804,0.009977827050997782,1.7346010553881064,0.01730754933314075
36,laser,10,2442,0.004095004095004095,4.219507705176107,0.01727890133159749
4,faith,11,1552,0.007087628865979381,2.4277482359480516,0.017206978476435934
