"bigram"	"n"
"1043"	"policy agenda"	2
"1044"	"political chemistry"	2
"1045"	"political realities"	2
"1046"	"pollution congestion"	2
"1047"	"poor countries"	2
"1048"	"poorest people"	2
"1049"	"potentially devastating"	2
"1050"	"power means"	2
"1051"	"power plant"	2
"1052"	"power plants"	2
"1053"	"powered battery"	2
"1054"	"powerful greenhouse"	2
"1055"	"powerfully argued"	2
"1056"	"pre industrial"	2
"1057"	"president reagan"	2
"1058"	"pretty dramatic"	2
"1059"	"pretty easy"	2
"1060"	"pretty obvious"	2
"1061"	"pretty remarkable"	2
"1062"	"prime candidate"	2
"1063"	"private land"	2
"1064"	"private sector"	2
"1065"	"protect biodiversity"	2
"1066"	"provide opportunities"	2
"1067"	"provide school"	2
"1068"	"provincial council"	2
"1069"	"public enemy"	2
"1070"	"public lands"	2
"1071"	"public park"	2
"1072"	"public spending"	2
"1073"	"public support"	2
"1074"	"putting forward"	2
"1075"	"quadruple sqeeze"	2
"1076"	"quantum mechanics"	2
"1077"	"quantum theory"	2
"1078"	"question mark"	2
"1079"	"race cars"	2
"1080"	"radar signal"	2
"1081"	"radar sounding"	2
"1082"	"radio glaciologist"	2
"1083"	"random mutagenesis"	2
"1084"	"rarer clouds"	2
"1085"	"real change"	2
"1086"	"real cost"	2
"1087"	"real faith"	2
"1088"	"real issue"	2
"1089"	"recently published"	2
"1090"	"red layer"	2
"1091"	"red lines"	2
"1092"	"reduce cost"	2
"1093"	"reduce greenhouse"	2
"1094"	"refugee camp"	2
"1095"	"religious orthodoxy"	2
"1096"	"religious people"	2
"1097"	"religious traditions"	2
"1098"	"remote community"	2
"1099"	"remote fjord"	2
"1100"	"research institute"	2
"1101"	"resist browsing"	2
"1102"	"resource owners"	2
"1103"	"return home"	2
"1104"	"rice farmers"	2
"1105"	"rice genes"	2
"1106"	"rice varieties"	2
"1107"	"rich dutch"	2
"1108"	"rights matters"	2
"1109"	"ringed seals"	2
"1110"	"rising seas"	2
"1111"	"risk factors"	2
"1112"	"risk temperatures"	2
"1113"	"robert moses"	2
"1114"	"rock record"	2
"1115"	"root system"	2
"1116"	"roughly half"	2
"1117"	"rush hour"	2
"1118"	"saharan africa"	2
"1119"	"santa barbara"	2
"1120"	"satellite broadcasters"	2
"1121"	"save energy"	2
"1122"	"schell creek"	2
"1123"	"school feeding"	2
"1124"	"school meals"	2
"1125"	"science based"	2
"1126"	"science budget"	2
"1127"	"science magazine"	2
"1128"	"science museum"	2
"1129"	"scientific paper"	2
"1130"	"scientists finally"	2
"1131"	"sea floor"	2
"1132"	"seal grabbed"	2
"1133"	"seal ya"	2
"1134"	"seasoned professionals"	2
"1135"	"seat belt"	2
"1136"	"sectarian violence"	2
"1137"	"security issues"	2
"1138"	"security policy"	2
"1139"	"seed grant"	2
"1140"	"selection evolution"	2
"1141"	"sensory based"	2
"1142"	"server farms"	2
"1143"	"sewage treatment"	2
"1144"	"shared resource"	2
"1145"	"shareholding relations"	2
"1146"	"sheep ate"	2
"1147"	"sheet holding"	2
"1148"	"shit knife"	2
"1149"	"shooting time"	2
"1150"	"silent movie"	2
"1151"	"simple rules"	2
"1152"	"simple solution"	2
"1153"	"single human"	2
"1154"	"single night"	2
"1155"	"sinking cities"	2
"1156"	"sixth extinction"	2
"1157"	"size pizza"	2
"1158"	"slaughter plants"	2
"1159"	"smart geeky"	2
"1160"	"smart kids"	2
"1161"	"social interaction"	2
"1162"	"social media"	2
"1163"	"solid waste"	2
"1164"	"solomon islands"	2
"1165"	"source software"	2
"1166"	"south geographic"	2
"1167"	"south pole"	2
"1168"	"southern patagonia"	2
"1169"	"southernmost islands"	2
"1170"	"space exploration"	2
"1171"	"space probe"	2
"1172"	"species left"	2
"1173"	"species lived"	2
"1174"	"spend time"	2
"1175"	"spent time"	2
"1176"	"spill happened"	2
"1177"	"spirit bear"	2
"1178"	"stabilize climate"	2
"1179"	"stable holocene"	2
"1180"	"started writing"	2
"1181"	"stop economic"	2
"1182"	"stopped planting"	2
"1183"	"storm chasing"	2
"1184"	"stratospheric ozone"	2
"1185"	"structural change"	2
"1186"	"stuff inside"	2
"1187"	"stupid story"	2
"1188"	"sub1 variety"	2
"1189"	"subarctic animals"	2
"1190"	"substantial amount"	2
"1191"	"success story"	2
"1192"	"sulfur dioxide"	2
"1193"	"sulfuric acid"	2
"1194"	"summer ice"	2
"1195"	"sun's energy"	2
"1196"	"sunlight exposure"	2
"1197"	"super cool"	2
"1198"	"supernova explosions"	2
"1199"	"support human"	2
"1200"	"survival situation"	2
"1201"	"synthetic biology"	2
"1202"	"system change"	2
"1203"	"systemic risk"	2
"1204"	"taking advantage"	2
"1205"	"taking care"	2
"1206"	"temple grandin"	2
"1207"	"thick clouds"	2
"1208"	"thin ice"	2
"1209"	"thin shell"	2
"1210"	"thinking yeah"	2
"1211"	"thirty percent"	2
"1212"	"thousand feet"	2
"1213"	"threat display"	2
"1214"	"till farming"	2
"1215"	"tillage systems"	2
"1216"	"time ago"	2
"1217"	"time laughter"	2
"1218"	"time machine"	2
"1219"	"time outdoors"	2
"1220"	"tiny moon"	2
"1221"	"tnc network"	2
"1222"	"tomato growers"	2
"1223"	"tomorrow's child"	2
"1224"	"ton dreadnoughtus"	2
"1225"	"top 10"	2
"1226"	"top angle"	2
"1227"	"top priorities"	2
"1228"	"totally wrong"	2
"1229"	"touch nature"	2
"1230"	"trafalgar square"	2
"1231"	"transformative change"	2
"1232"	"transit systems"	2
"1233"	"trash people"	2
"1234"	"tree ring"	2
"1235"	"tree rings"	2
"1236"	"tremendous increase"	2
"1237"	"triple bottom"	2
"1238"	"trophic cascades"	2
"1239"	"trunk line"	2
"1240"	"tuna fisheries"	2
"1241"	"turbulent times"	2
"1242"	"typical urban"	2
"1243"	"u.n institutions"	2
"1244"	"u.s economy"	2
"1245"	"u.s national"	2
"1246"	"ultraviolet rays"	2
"1247"	"uncharacterized mutations"	2
"1248"	"underwater world"	2
"1249"	"unequal world"	2
"1250"	"universal declaration"	2
"1251"	"unsustainable tourism"	2
"1252"	"urban planning"	2
"1253"	"usual means"	2
"1254"	"van allen"	2
"1255"	"vertical elements"	2
"1256"	"vertical line"	2
"1257"	"vessel day"	2
"1258"	"veterinary facility"	2
"1259"	"vice versa"	2
"1260"	"violent storms"	2
"1261"	"visual cortex"	2
"1262"	"visual thinkers"	2
"1263"	"volta's battery"	2
"1264"	"voodoo acolytes"	2
"1265"	"walked past"	2
"1266"	"warming worse"	2
"1267"	"washington d.c"	2
"1268"	"water cycle"	2
"1269"	"water droplets"	2
"1270"	"water forests"	2
"1271"	"water hidden"	2
"1272"	"water laughter"	2
"1273"	"water resources"	2
"1274"	"water temperature"	2
"1275"	"water whatsoever"	2
"1276"	"watt hour"	2
"1277"	"watt hours"	2
"1278"	"west antarctic"	2
"1279"	"western landscape"	2
"1280"	"wi fi"	2
"1281"	"wide range"	2
"1282"	"wind power"	2
"1283"	"woo woo"	2
"1284"	"world economy"	2
"1285"	"world farmers"	2
"1286"	"world food"	2
"1287"	"world leaders"	2
"1288"	"world traditions"	2
"1289"	"world's oil"	2
"1290"	"year's worth"	2
"1291"	"yellow blob"	2
"1292"	"yellow set"	2
"1293"	"zander's siq"	2
"1294"	"0 percent"	1
"1295"	"0.004 percent"	1
"1296"	"0.1 percent"	1
"1297"	"0.2 percent"	1
"1298"	"0.4 degrees"	1
"1299"	"0.6 percent"	1
"1300"	"001 percent"	1
"1301"	"1 2016"	1
"1302"	"1 6th"	1
"1303"	"1 spent"	1
"1304"	"1,000 dollars"	1
"1305"	"1,000 pages"	1
"1306"	"1,000 people"	1
"1307"	"1,250 feet"	1
"1308"	"1,500 tons"	1
"1309"	"1,600 kilometers"	1
"1310"	"1,782 millimeters"	1
"1311"	"1,800 megawatts"	1
"1312"	"1.2 1.6"	1
"1313"	"1.2 billion"	1
"1314"	"1.2 million"	1
"1315"	"1.3 billion"	1
"1316"	"1.3 degrees"	1
"1317"	"1.3 million"	1
"1318"	"1.3 percent"	1
"1319"	"1.3 times"	1
"1320"	"1.5 earths"	1
"1321"	"1.5 million"	1
"1322"	"1.6 billion"	1
"1323"	"1.7 million"	1
"1324"	"1.8 billion"	1
"1325"	"1.8 percent"	1
"1326"	"10 20"	1
"1327"	"10 bells"	1
"1328"	"10 days"	1
"1329"	"10 factorial"	1
"1330"	"10 glossy"	1
"1331"	"10 kilometer"	1
"1332"	"10 miles"	1
"1333"	"10 million"	1
"1334"	"10 minute"	1
"1335"	"10 pounds"	1
"1336"	"10 tons"	1
"1337"	"10 twin"	1
"1338"	"10,000 12,000"	1
"1339"	"10,000 human"	1
"1340"	"10,000 leopards"	1
"1341"	"10,500 feet"	1
"1342"	"10.2 million"	1
"1343"	"100 centuries"	1
"1344"	"100 countries"	1
"1345"	"100 exhibitions"	1
"1346"	"100 kilometers"	1
"1347"	"100 megawatts"	1
"1348"	"100 meters"	1
"1349"	"100 pounds"	1
"1350"	"100 senators"	1
"1351"	"100 times"	1
"1352"	"100,000 acres"	1
"1353"	"107th countries"	1
"1354"	"11 acre"	1
"1355"	"11 chapters"	1
"1356"	"11 check"	1
"1357"	"11 destroyed"	1
"1358"	"11 percent"	1
"1359"	"11,000 people"	1
"1360"	"11,400 feet"	1
"1361"	"11,600 feet"	1
"1362"	"113 countries"	1
"1363"	"11th coming"	1
"1364"	"12 carbon"	1
"1365"	"12 feet"	1
"1366"	"12 ft"	1
"1367"	"12 grandchildren"	1
"1368"	"12 million"	1
"1369"	"12 percent"	1
"1370"	"12 tourists"	1
"1371"	"12,000 leopards"	1
"1372"	"120 feet"	1
"1373"	"125 million"	1
"1374"	"13 billion"	1
"1375"	"13 million"	1
"1376"	"13 minutes"	1
"1377"	"13,000 feet"	1
"1378"	"13,000 kilometers"	1
"1379"	"130 people"	1
"1380"	"14 billion"	1
"1381"	"14 odd"	1
"1382"	"14 pistons"	1
"1383"	"14 times"	1
"1384"	"14,000 people"	1
"1385"	"140,000 dollars"	1
"1386"	"146 top"	1
"1387"	"15 degree"	1
"1388"	"15 foot"	1
"1389"	"15 meters"	1
"1390"	"15 miles"	1
"1391"	"15,000 scientists"	1
"1392"	"15,000 times"	1
"1393"	"150 percent"	1
"1394"	"150 pound"	1
"1395"	"156 nations"	1
"1396"	"16 divisions"	1
"1397"	"16 megawatts"	1
"1398"	"16.7 million"	1
"1399"	"160 million"	1
"1400"	"17 days"	1
"1401"	"17 megawatts"	1
"1402"	"17,000 acres"	1
"1403"	"17.5 metric"	1
"1404"	"174 million"	1
"1405"	"18 days"	1
"1406"	"18 feet"	1
"1407"	"18 inch"	1
"1408"	"18 meters"	1
"1409"	"18 minutes"	1
"1410"	"18 months"	1
"1411"	"18 thousand"	1
"1412"	"180 acres"	1
"1413"	"1880s 1890s"	1
"1414"	"1880s livestock"	1
"1415"	"18th century"	1
"1416"	"1913 trio"	1
"1417"	"193 million"	1
"1418"	"1945 1945"	1
"1419"	"1945 70"	1
"1420"	"1952 smog"	1
"1421"	"1960s set"	1
"1422"	"1977 1982"	1
"1423"	"1979 1980"	1
"1424"	"1981 paper"	1
"1425"	"1982 1990"	1
"1426"	"1985 scientists"	1
"1427"	"1989 makeover"	1
"1428"	"1990 people"	1
"1429"	"1991 cooled"	1
"1430"	"1995 heat"	1
"1431"	"1997 produced"	1
"1432"	"2,000 foot"	1
"1433"	"2,000 hives"	1
"1434"	"2,000 kills"	1
"1435"	"2,000 times"	1
"1436"	"2,400 billion"	1
"1437"	"2.2 meters"	1
"1438"	"2.6 billion"	1
"1439"	"20 30"	1
"1440"	"20 30,000"	1
"1441"	"20 bridges"	1
"1442"	"20 centimeters"	1
"1443"	"20 feet"	1
"1444"	"20 hours"	1
"1445"	"20 miles"	1
"1446"	"20 paces"	1
"1447"	"20 people"	1
"1448"	"20 times"	1
"1449"	"20 watt"	1
"1450"	"20 watts"	1
"1451"	"20,000 lion"	1
"1452"	"20,000 miles"	1
"1453"	"20,000 species"	1
"1454"	"20,000 tigers"	1
"1455"	"200 american"	1
"1456"	"200 billion"	1
"1457"	"200 countries"	1
"1458"	"200 feet"	1
"1459"	"200 hours"	1
"1460"	"200 inuit"	1
"1461"	"200 klicks"	1
"1462"	"200 lbs"	1
"1463"	"200 thousand"	1
"1464"	"200 watt"	1
"1465"	"2000 80"	1
"1466"	"2000 human"	1
"1467"	"2000 totally"	1
"1468"	"2000s laughter"	1
"1469"	"2002 2006"	1
"1470"	"2002 climate"	1
"1471"	"2005 meeting"	1
"1472"	"2006 2008"	1
"1473"	"2006 congress"	1
"1474"	"2007 suddenly"	1
"1475"	"2008 2012"	1
"1476"	"2008 cyclone"	1
"1477"	"2011 thailand"	1
"1478"	"2012 map"	1
"1479"	"2012 mom"	1
"1480"	"2027 apple"	1
"1481"	"2041 ladies"	1
"1482"	"2041 mission"	1
"1483"	"2050 35"	1
"1484"	"2075 october"	1
"1485"	"20th century"	1
"1486"	"21 feet"	1
"1487"	"2100 sea"	1
"1488"	"2100 thinking"	1
"1489"	"21st mexico"	1
"1490"	"21st molecules"	1
"1491"	"23 gigatons"	1
"1492"	"24 hour"	1
"1493"	"240 feet"	1
"1494"	"24th 1968"	1
"1495"	"25 centigrade"	1
"1496"	"25 feet"	1
"1497"	"25 megawatt"	1
"1498"	"25 million"	1
"1499"	"250 hours"	1
"1500"	"250 people"	1
"1501"	"25th monster"	1
"1502"	"26 euros"	1
"1503"	"27 billion"	1
"1504"	"27 percent"	1
"1505"	"28 1928"	1
"1506"	"28 acres"	1
"1507"	"29 cents"	1
"1508"	"29 upgrades"	1
"1509"	"29,000 ethanol"	1
"1510"	"3 billion"	1
"1511"	"3 million"	1
"1512"	"3,000 argo"	1
"1513"	"3,000 bj"	1
"1514"	"3,000 capitol"	1
"1515"	"3,000 times"	1
"1516"	"3.3 gigatons"	1
"1517"	"3.5 million"	1
"1518"	"30 40"	1
"1519"	"30 cents"	1
"1520"	"30 kinds"	1
"1521"	"30 km"	1
"1522"	"30 lions"	1
"1523"	"30 million"	1
"1524"	"30,000 100,000"	1
"1525"	"300 days"	1
"1526"	"300 miles"	1
"1527"	"300 people"	1
"1528"	"300 percent"	1
"1529"	"300 rachel"	1
"1530"	"300 species"	1
"1531"	"300 times"	1
"1532"	"300,000 homes"	1
"1533"	"32 applause"	1
"1534"	"32 million"	1
"1535"	"32 stories"	1
"1536"	"32 times"	1
"1537"	"325 feet"	1
"1538"	"33 cents"	1
"1539"	"33 percent"	1
"1540"	"33 solar"	1
"1541"	"340,000 square"	1
"1542"	"35 megawatts"	1
"1543"	"35 millimeter"	1
"1544"	"35 million"	1
"1545"	"35 times"	1
"1546"	"35,000 people"	1
"1547"	"350 ppm"	1
"1548"	"36 inches"	1
"1549"	"36 percent"	1
"1550"	"365 days"	1
"1551"	"375 plant"	1
"1552"	"390 ppm"	1
"1553"	"391 ppm"	1
"1554"	"3d imax"	1
"1555"	"4,000 male"	1
"1556"	"4,000 people"	1
"1557"	"4,700th baby"	1
"1558"	"40 countries"	1
"1559"	"40 days"	1
"1560"	"40 foot"	1
"1561"	"40 meters"	1
"1562"	"40 million"	1
"1563"	"40 paces"	1
"1564"	"400 acres"	1
"1565"	"400 foot"	1
"1566"	"400 kilometers"	1
"1567"	"400 million"	1
"1568"	"400,000 hiroshima"	1
"1569"	"400,000 people"	1
"1570"	"42 percent"	1
"1571"	"425 million"	1
"1572"	"430 liters"	1
"1573"	"45 million"	1
"1574"	"450 million"	1
"1575"	"450 ppm"	1
"1576"	"450,000 lions"	1
"1577"	"48 dollars"	1
"1578"	"49 million"	1
"1579"	"5 methoxydimethyltryptamine"	1
"1580"	"5.8 business"	1
"1581"	"50 billion"	1
"1582"	"50 bucks"	1
"1583"	"50 cents"	1
"1584"	"50 degrees"	1
"1585"	"50 euro"	1
"1586"	"50 light"	1
"1587"	"50 megawatts"	1
"1588"	"50 plant"	1
"1589"	"50 thousand"	1
"1590"	"50,000 individual"	1
"1591"	"500 billion"	1
"1592"	"500 kilometers"	1
"1593"	"500 megawatts"	1
"1594"	"500 square"	1
"1595"	"500,000 children"	1
"1596"	"500,000 people"	1
"1597"	"50s 10"	1
"1598"	"50th percentile"	1
"1599"	"54 percent"	1
"1600"	"55 degrees"	1
"1601"	"55 million"	1
"1602"	"550,000 bags"	1
"1603"	"577r genotype"	1
"1604"	"59 billion"	1
"1605"	"59 degrees"	1
"1606"	"6,000 feet"	1
"1607"	"6,000 miles"	1
"1608"	"6,000 people"	1
"1609"	"6,000 sacred"	1
"1610"	"60 celsius"	1
"1611"	"60 days"	1
"1612"	"60 degrees"	1
"1613"	"60 feet"	1
"1614"	"60 kilometers"	1
"1615"	"60,000 diesel"	1
"1616"	"60,000 suppliers"	1
"1617"	"600 ft"	1
"1618"	"600,000 people"	1
"1619"	"60s 70s"	1
"1620"	"60s led"	1
"1621"	"60s shoes"	1
"1622"	"61 percent"	1
"1623"	"620 scientists"	1
"1624"	"63 billion"	1
"1625"	"65 billion"	1
"1626"	"65 million"	1
"1627"	"65 people"	1
"1628"	"65 percent"	1
"1629"	"65,000 feet"	1
"1630"	"650 billion"	1
"1631"	"66 million"	1
"1632"	"7 0"	1
"1633"	"7 7"	1
"1634"	"7 bombings"	1
"1635"	"7,600 feet"	1
"1636"	"7.2 billion"	1
"1637"	"70 day"	1
"1638"	"70 days"	1
"1639"	"70 desperate"	1
"1640"	"70 million"	1
"1641"	"70s 80s"	1
"1642"	"70s looked"	1
"1643"	"70th anniversary"	1
"1644"	"71 percent"	1
"1645"	"75 billion"	1
"1646"	"75 degrees"	1
"1647"	"77 degrees"	1
"1648"	"77 million"	1
"1649"	"78 water"	1
"1650"	"8,000 kilometers"	1
"1651"	"8,000 meter"	1
"1652"	"8,900 feet"	1
"1653"	"80 billion"	1
"1654"	"80 days"	1
"1655"	"80 kg"	1
"1656"	"80 rail"	1
"1657"	"80,000 gasoline"	1
"1658"	"80,000 species"	1
"1659"	"800 degrees"	1
"1660"	"800 lb"	1
"1661"	"800 million"	1
"1662"	"800 people"	1
"1663"	"80s 90s"	1
"1664"	"84 percent"	1
"1665"	"844 questions"	1
"1666"	"85 feet"	1
"1667"	"85 percent"	1
"1668"	"87 people"	1
"1669"	"9 billion"	1
"1670"	"9,400 feet"	1
"1671"	"900 degrees"	1
"1672"	"900 zeta"	1
"1673"	"90s ken"	1
"1674"	"956 questions"	1
"1675"	"95th china"	1
"1676"	"99.96 percent"	1
"1677"	"a.e housman"	1
"1678"	"abalone makes"	1
"1679"	"abalone shells"	1
"1680"	"abandoned concrete"	1
"1681"	"abandoned puppy"	1
"1682"	"abandoned starting"	1
"1683"	"abc 844"	1
"1684"	"aberdeen laughter"	1
"1685"	"abominable snowman"	1
"1686"	"abrahamic traditions"	1
"1687"	"absolute certainty"	1
"1688"	"absolute crisis"	1
"1689"	"absolute delight"	1
"1690"	"absolute favorite"	1
"1691"	"absolute fore"	1
"1692"	"absolute heartless"	1
"1693"	"absolute sense"	1
"1694"	"absolute worst"	1
"1695"	"absolutely amazing"	1
"1696"	"absolutely awful"	1
"1697"	"absolutely beautifully"	1
"1698"	"absolutely crucial"	1
"1699"	"absolutely delicious"	1
"1700"	"absolutely explosive"	1
"1701"	"absolutely fundamental"	1
"1702"	"absolutely fundamentally"	1
"1703"	"absolutely gorgeous"	1
"1704"	"absolutely horrendous"	1
"1705"	"absolutely huge"	1
"1706"	"absolutely incredible"	1
"1707"	"absolutely love"	1
"1708"	"absolutely overwhelming"	1
"1709"	"absolutely true"	1
"1710"	"absolutely wrong"	1
"1711"	"absorb carbon"	1
"1712"	"absorb co2"	1
"1713"	"absorb light"	1
"1714"	"absorb rain"	1
"1715"	"absorb solar"	1
"1716"	"absorb water"	1
"1717"	"absorbent capacity"	1
"1718"	"absorbing light"	1
"1719"	"absorbing molecules"	1
"1720"	"abstract people"	1
"1721"	"abstract stuff"	1
"1722"	"absurdly cheap"	1
"1723"	"abu dhabi"	1
"1724"	"abundant elements"	1
"1725"	"abuse hold"	1
"1726"	"abused remember"	1
"1727"	"academic campus"	1
"1728"	"academy 1977"	1
"1729"	"academy laughter"	1
"1730"	"academy report"	1
"1731"	"accelerated change"	1
"1732"	"accelerated pressure"	1
"1733"	"accelerating rate"	1
"1734"	"accept deposits"	1
"1735"	"accept throwaway"	1
"1736"	"access databases"	1
"1737"	"access fees"	1
"1738"	"access learn"	1
"1739"	"accessible medium"	1
"1740"	"accidental death"	1
"1741"	"accommodate change"	1
"1742"	"accomplished close"	1
"1743"	"accomplished scientist"	1
"1744"	"accountability held"	1
"1745"	"accountability subject"	1
"1746"	"accredited teacher"	1
"1747"	"accumulate trophic"	1
"1748"	"accumulated pressure"	1
"1749"	"accumulating mass"	1
"1750"	"accurately model"	1
"1751"	"accurately señor"	1
"1752"	"achieved remarkable"	1
"1753"	"achieves 20"	1
"1754"	"achieving extraordinary"	1
"1755"	"achilles takes"	1
"1756"	"achilles tent"	1
"1757"	"acid particles"	1
"1758"	"acid rain"	1
"1759"	"acknowledge redundancy"	1
"1760"	"acoustic habitat"	1
"1761"	"acoustic space"	1
"1762"	"acre park"	1
"1763"	"acres burned"	1
"1764"	"acres devoured"	1
"1765"	"acres dominate"	1
"1766"	"act decisively"	1
"1767"	"act free"	1
"1768"	"act laughter"	1
"1769"	"act proactively"	1
"1770"	"act surely"	1
"1771"	"action based"	1
"1772"	"action begin"	1
"1773"	"action caught"	1
"1774"	"action climate"	1
"1775"	"action items"	1
"1776"	"active citizen"	1
"1777"	"active inquiring"	1
"1778"	"active irradiation"	1
"1779"	"active stewardship"	1
"1780"	"actively change"	1
"1781"	"actively endorsed"	1
"1782"	"activists invaded"	1
"1783"	"actors involved"	1
"1784"	"actors locally"	1
"1785"	"actual cost"	1
"1786"	"actual datasets"	1
"1787"	"actual development"	1
"1788"	"actual peak"	1
"1789"	"actual wave"	1
"1790"	"ad hoc"	1
"1791"	"adapted technologies"	1
"1792"	"adaptive approach"	1
"1793"	"adaptive choices"	1
"1794"	"adaptive imperatives"	1
"1795"	"add humans"	1
"1796"	"add wasting"	1
"1797"	"added co2"	1
"1798"	"adding co2"	1
"1799"	"additional dna"	1
"1800"	"address hunger"	1
"1801"	"addressed agriculture"	1
"1802"	"addressing hunger"	1
"1803"	"addressing obesity"	1
"1804"	"adjacent dog"	1
"1805"	"adjacent sea"	1
"1806"	"administration attacked"	1
"1807"	"administration narrowed"	1
"1808"	"ads internet"	1
"1809"	"ads radio"	1
"1810"	"adult life"	1
"1811"	"advanced photovoltaics"	1
"1812"	"advanced technology"	1
"1813"	"advances born"	1
"1814"	"advancing biotech"	1
"1815"	"advancing sands"	1
"1816"	"advancing sustainable"	1
"1817"	"advising governments"	1
"1818"	"aerial photo"	1
"1819"	"aerial view"	1
"1820"	"aesthetic science"	1
"1821"	"affected airports"	1
"1822"	"affected cell"	1
"1823"	"affected nations"	1
"1824"	"affecting people"	1
"1825"	"affects weather"	1
"1826"	"affluent consumer"	1
"1827"	"afford cars"	1
"1828"	"afford proper"	1
"1829"	"affordable cost"	1
"1830"	"affordable credit"	1
"1831"	"affordable housing"	1
"1832"	"afghan constitution"	1
"1833"	"afghanistan kenya"	1
"1834"	"africa corn"	1
"1835"	"africa disappear"	1
"1836"	"africa gondwana"	1
"1837"	"africa's farmers"	1
"1838"	"african agriculture"	1
"1839"	"african american"	1
"1840"	"african countries"	1
"1841"	"african proverb"	1
"1842"	"aftermath killed"	1
"1843"	"age depending"	1
"1844"	"age matched"	1
"1845"	"agencies pernicious"	1
"1846"	"ages religion"	1
"1847"	"aggression required"	1
"1848"	"aggressive highway"	1
"1849"	"agnostic jew"	1
"1850"	"ago beekeepers"	1
"1851"	"ago david"	1
"1852"	"ago environmental"	1
"1853"	"ago methane"	1
"1854"	"ago thankfully"	1
"1855"	"agree anymore"	1
"1856"	"agricultural existence"	1
"1857"	"agricultural fields"	1
"1858"	"agricultural innovation"	1
"1859"	"agricultural land"	1
"1860"	"agricultural revolution"	1
"1861"	"agricultural settings"	1
"1862"	"agricultural soil"	1
"1863"	"agriculture internationally"	1
"1864"	"agriculture moved"	1
"1865"	"ai concern"	1
"1866"	"aids basically"	1
"1867"	"aimless activity"	1
"1868"	"aimless nature"	1
"1869"	"air 8"	1
"1870"	"air act"	1
"1871"	"air coming"	1
"1872"	"air crashes"	1
"1873"	"air flow"	1
"1874"	"air food"	1
"1875"	"air guns"	1
"1876"	"air polluting"	1
"1877"	"air soil"	1
"1878"	"air temperature"	1
"1879"	"air traffic"	1
"1880"	"air water"	1
"1881"	"air wind"	1
"1882"	"airborne ice"	1
"1883"	"airlines safer"	1
"1884"	"airplane tails"	1
"1885"	"airport 24"	1
"1886"	"al gore's"	1
"1887"	"alan kay"	1
"1888"	"alarming discovery"	1
"1889"	"alaska iceland"	1
"1890"	"albeit successfully"	1
"1891"	"albert einstein"	1
"1892"	"alberta people"	1
"1893"	"alberta sand"	1
"1894"	"alessandro volta"	1
"1895"	"alex steffen"	1
"1896"	"alexander discovered"	1
"1897"	"alexander fleming"	1
"1898"	"alexander's siq"	1
"1899"	"alfalfa hay"	1
"1900"	"algae clinging"	1
"1901"	"algorithm 10"	1
"1902"	"alien planet"	1
"1903"	"alien sky"	1
"1904"	"alien world"	1
"1905"	"aliens arrived"	1
"1906"	"aligning international"	1
"1907"	"alive kenong"	1
"1908"	"alive pulsing"	1
"1909"	"allen explain"	1
"1910"	"allen told"	1
"1911"	"alleviate human"	1
"1912"	"alley poor"	1
"1913"	"alliances nato"	1
"1914"	"allowed carbon"	1
"1915"	"allowed humans"	1
"1916"	"allowed increases"	1
"1917"	"allowed judaism"	1
"1918"	"allowing viewers"	1
"1919"	"almond blossom"	1
"1920"	"almond monoculture"	1
"1921"	"almonds fifty"	1
"1922"	"alpine cattle"	1
"1923"	"alpine environments"	1
"1924"	"alpine world"	1
"1925"	"alterable risk"	1
"1926"	"altered changed"	1
"1927"	"alternative centers"	1
"1928"	"alternative energy"	1
"1929"	"alternative entry"	1
"1930"	"alternative transportation"	1
"1931"	"aluminum changed"	1
"1932"	"aluminum metal"	1
"1933"	"aluminum smelter"	1
"1934"	"aluminum steel"	1
"1935"	"alzheimer's patients"	1
"1936"	"amazing advice"	1
"1937"	"amazing animals"	1
"1938"	"amazing creativity"	1
"1939"	"amazing experience"	1
"1940"	"amazing hunters"	1
"1941"	"amazing ice"	1
"1942"	"amazing image"	1
"1943"	"amazing initiation"	1
"1944"	"amazing nano"	1
"1945"	"amazing natural"	1
"1946"	"amazing people"	1
"1947"	"amazing success"	1
"1948"	"amazing supply"	1
"1949"	"amazing talk"	1
"1950"	"amazingly improbable"	1
"1951"	"amazon indians"	1
"1952"	"amazon managed"	1
"1953"	"ambient seismic"	1
"1954"	"ambition laughter"	1
"1955"	"ambitious emissions"	1
"1956"	"ambitious experiment"	1
"1957"	"ambitious folly"	1
"1958"	"ambitious idea"	1
"1959"	"america 33"	1
"1960"	"america 49"	1
"1961"	"america 90"	1
"1962"	"america lent"	1
"1963"	"america's energy"	1
"1964"	"america's kids"	1
"1965"	"america's loneliest"	1
"1966"	"american century"	1
"1967"	"american consumer"	1
"1968"	"american consumers"	1
"1969"	"american daryl"	1
"1970"	"american dream"	1
"1971"	"american economy"	1
"1972"	"american families"	1
"1973"	"american geophysical"	1
"1974"	"american households"	1
"1975"	"american neurological"	1
"1976"	"american politics"	1
"1977"	"american processed"	1
"1978"	"american publishers"	1
"1979"	"american reference"	1
"1980"	"american stopped"	1
"1981"	"american west"	1
"1982"	"americans 11"	1
"1983"	"americans lived"	1
"1984"	"ammonites leconteiceras"	1
"1985"	"amorphous generic"	1
"1986"	"amory lovins"	1
"1987"	"amount edinburgh"	1
"1988"	"amount remaining"	1
"1989"	"amounts hydrogen"	1
"1990"	"amphibian life"	1
