"bigram"	"n"
"244"	"arctic circle"	3
"245"	"arctic sea"	3
"246"	"autistic child"	3
"247"	"baby baboon"	3
"248"	"bark pine"	3
"249"	"billion stars"	3
"250"	"biodiversity loss"	3
"251"	"blood flow"	3
"252"	"blood vessels"	3
"253"	"blue dot"	3
"254"	"camera gear"	3
"255"	"carbon economy"	3
"256"	"cardiovascular system"	3
"257"	"clean energy"	3
"258"	"climate accord"	3
"259"	"climate agreement"	3
"260"	"climate impacts"	3
"261"	"climate system"	3
"262"	"cod liver"	3
"263"	"cognitive dissonance"	3
"264"	"computer models"	3
"265"	"conventional variety"	3
"266"	"conventional wisdom"	3
"267"	"coral reef"	3
"268"	"couple thousand"	3
"269"	"crazy idea"	3
"270"	"creatures living"	3
"271"	"creosote bush"	3
"272"	"critical care"	3
"273"	"dead bears"	3
"274"	"deep ocean"	3
"275"	"deep time"	3
"276"	"define nature"	3
"277"	"degraded land"	3
"278"	"dna sequence"	3
"279"	"dollars worth"	3
"280"	"earth catalog"	3
"281"	"earth history"	3
"282"	"earth's climate"	3
"283"	"earth's energy"	3
"284"	"empty lot"	3
"285"	"energy balance"	3
"286"	"energy coming"	3
"287"	"farming practices"	3
"288"	"field campaign"	3
"289"	"financial institutions"	3
"290"	"financial markets"	3
"291"	"firmly stand"	3
"292"	"flex fuel"	3
"293"	"flowering plants"	3
"294"	"food security"	3
"295"	"forest floor"	3
"296"	"forest service"	3
"297"	"future fires"	3
"298"	"gasoline consumption"	3
"299"	"genetic information"	3
"300"	"genetically identical"	3
"301"	"giant battery"	3
"302"	"giant plant"	3
"303"	"glacier aquifer"	3
"304"	"global food"	3
"305"	"global temperature"	3
"306"	"gok gok"	3
"307"	"greenhouse gasses"	3
"308"	"grid level"	3
"309"	"grow food"	3
"310"	"hate clouds"	3
"311"	"health care"	3
"312"	"hiv aids"	3
"313"	"homo sapiens"	3
"314"	"hour cell"	3
"315"	"human genome"	3
"316"	"human imagination"	3
"317"	"human induced"	3
"318"	"human mind"	3
"319"	"hundred million"	3
"320"	"ice covered"	3
"321"	"informal economy"	3
"322"	"kilowatt hour"	3
"323"	"lapse cameras"	3
"324"	"laughter ca"	3
"325"	"level storage"	3
"326"	"life cycle"	3
"327"	"liver oil"	3
"328"	"local economic"	3
"329"	"lower atmosphere"	3
"330"	"major world"	3
"331"	"makes sense"	3
"332"	"massive black"	3
"333"	"means respecting"	3
"334"	"medical student"	3
"335"	"merry manhattan"	3
"336"	"microbial age"	3
"337"	"middle income"	3
"338"	"million hydrogen"	3
"339"	"million lives"	3
"340"	"million refugees"	3
"341"	"million tons"	3
"342"	"molten salt"	3
"343"	"moore's law"	3
"344"	"moral hazard"	3
"345"	"mother earth"	3
"346"	"musical score"	3
"347"	"national academy"	3
"348"	"national forest"	3
"349"	"national parks"	3
"350"	"native species"	3
"351"	"natural resources"	3
"352"	"ninth ward"	3
"353"	"nobel prize"	3
"354"	"noise levels"	3
"355"	"north polar"	3
"356"	"nuclear energy"	3
"357"	"numeric model"	3
"358"	"oil prices"	3
"359"	"pale blue"	3
"360"	"palm oil"	3
"361"	"paris climate"	3
"362"	"pay attention"	3
"363"	"people die"	3
"364"	"people died"	3
"365"	"people dying"	3
"366"	"perfect waves"	3
"367"	"physics homework"	3
"368"	"ping pong"	3
"369"	"planetary level"	3
"370"	"plant plankton"	3
"371"	"polar bear"	3
"372"	"pong ball"	3
"373"	"post docs"	3
"374"	"pretty cool"	3
"375"	"processed foods"	3
"376"	"protein sequence"	3
"377"	"public policy"	3
"378"	"quarter million"	3
"379"	"radar systems"	3
"380"	"radically changed"	3
"381"	"radio signals"	3
"382"	"rare earth"	3
"383"	"real time"	3
"384"	"red flag"	3
"385"	"reduce emissions"	3
"386"	"rice variety"	3
"387"	"rich country"	3
"388"	"rockefeller foundation"	3
"389"	"run contrary"	3
"390"	"sao paulo"	3
"391"	"scientific evidence"	3
"392"	"sedimentary rocks"	3
"393"	"short term"	3
"394"	"silent world"	3
"395"	"silicon valley"	3
"396"	"social justice"	3
"397"	"solar systems"	3
"398"	"solve global"	3
"399"	"south america"	3
"400"	"southeast asia"	3
"401"	"space time"	3
"402"	"spray cans"	3
"403"	"square miles"	3
"404"	"starry sky"	3
"405"	"started thinking"	3
"406"	"storm surge"	3
"407"	"subarctic species"	3
"408"	"sunny day"	3
"409"	"super massive"	3
"410"	"tar sands"	3
"411"	"top players"	3
"412"	"tropical forests"	3
"413"	"underwater soundscape"	3
"414"	"unintended consequences"	3
"415"	"upper atmosphere"	3
"416"	"upper reaches"	3
"417"	"visual thinker"	3
"418"	"visual thinking"	3
"419"	"wall street"	3
"420"	"wandered lonely"	3
"421"	"warming climate"	3
"422"	"water column"	3
"423"	"weather element"	3
"424"	"western europe"	3
"425"	"western power"	3
"426"	"white bark"	3
"427"	"women's rights"	3
"428"	"world wars"	3
"429"	"world's largest"	3
"430"	"york times"	3
"431"	"1,000 kilometers"	2
"432"	"1,000 times"	2
"433"	"1.4 times"	2
"434"	"10 billion"	2
"435"	"10 countries"	2
"436"	"10 feet"	2
"437"	"10 ranches"	2
"438"	"10,000 feet"	2
"439"	"10,000 seed"	2
"440"	"10,000 times"	2
"441"	"100 million"	2
"442"	"100 tons"	2
"443"	"12 billion"	2
"444"	"125 feet"	2
"445"	"15 degrees"	2
"446"	"15 million"	2
"447"	"150 billion"	2
"448"	"16 inches"	2
"449"	"17 varieties"	2
"450"	"17th century"	2
"451"	"200 miles"	2
"452"	"200 million"	2
"453"	"25 time"	2
"454"	"3.3 billion"	2
"455"	"30 kilometers"	2
"456"	"30 minutes"	2
"457"	"30 project"	2
"458"	"300,000 people"	2
"459"	"33 cameras"	2
"460"	"4 million"	2
"461"	"50 feet"	2
"462"	"50 miles"	2
"463"	"6,000 languages"	2
"464"	"600 million"	2
"465"	"600,000 nodes"	2
"466"	"620 billion"	2
"467"	"65 ton"	2
"468"	"65 tons"	2
"469"	"737 top"	2
"470"	"75 minutes"	2
"471"	"750 million"	2
"472"	"80 miles"	2
"473"	"97 percent"	2
"474"	"98 percent"	2
"475"	"99 percent"	2
"476"	"abandoned buildings"	2
"477"	"absolutely beautiful"	2
"478"	"absolutely fine"	2
"479"	"absolutely soluble"	2
"480"	"absorb heat"	2
"481"	"ace gene"	2
"482"	"active ingredient"	2
"483"	"address climate"	2
"484"	"admire countries"	2
"485"	"advanced sensitivity"	2
"486"	"aerial picture"	2
"487"	"aerosol spray"	2
"488"	"african wilderness"	2
